yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2007 21 0 0 21.00000 -75.56 232.41 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 365.77 405.44 392.63 394.76 400.11 395.15 21.39 21.39 79.33 0.84 15.58 0.00 1.00 0.00 0.88 0.88 0.00 16.04 15.75 1.00 1.00 0.00 606.05 0.00 0.00
2007 21 1 0 21.04167 -81.07 162.51 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 364.84 404.45 391.66 393.78 399.12 394.17 21.21 21.21 80.09 0.84 15.40 0.00 1.00 0.00 0.88 0.88 0.00 15.91 15.89 1.00 1.00 0.00 604.53 0.00 0.00
2007 21 2 0 21.08333 -70.88 118.57 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 364.13 403.68 390.91 393.03 398.36 393.42 21.07 21.07 80.71 0.84 15.26 0.00 1.00 0.00 0.88 0.88 0.00 15.88 16.41 1.00 1.00 0.00 603.37 0.00 0.00
2007 21 3 0 21.12500 -57.36 109.22 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 364.26 403.62 390.92 393.03 398.35 393.42 21.06 21.06 81.08 0.84 15.26 0.00 1.00 0.00 0.88 0.88 0.00 15.95 16.83 1.00 1.00 0.00 603.45 0.00 0.00
2007 21 4 0 21.16667 -43.37 106.72 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 364.49 403.51 390.93 393.03 398.31 393.42 21.04 21.04 81.80 0.84 15.26 0.00 1.00 0.00 0.88 0.88 0.00 15.98 17.10 1.00 1.00 0.00 603.62 0.00 0.00
2007 21 5 0 21.20833 -29.30 106.62 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 363.39 402.47 389.87 391.96 397.25 392.35 20.85 20.85 82.40 0.84 15.07 0.00 1.00 0.00 0.88 0.88 0.00 15.81 17.06 1.00 1.00 0.00 601.90 0.00 0.00
2007 21 6 0 21.25000 -15.29 107.84 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 363.37 402.53 389.89 391.99 397.29 392.39 20.86 20.86 82.22 0.84 15.07 0.00 1.00 0.00 0.88 0.88 0.00 15.89 17.36 1.00 1.00 0.00 601.91 0.00 0.00
2007 21 7 0 21.29167 -0.63 110.15 -999.00 -999.00 7.38 0.00 0.00 0.00 0.00 0.00 0.00 362.44 401.54 388.92 391.02 396.30 391.41 20.68 20.68 83.00 0.84 14.89 0.00 1.00 0.00 0.88 0.88 0.00 15.80 17.60 1.00 1.00 0.00 600.40 0.00 0.00
2007 21 8 0 21.33333 12.39 113.69 272.90 81.61 140.16 115.73 19.52 8.68 9.71 10.83 9.80 379.52 433.44 409.43 414.34 427.23 416.59 22.17 27.07 75.58 0.86 35.25 233.05 0.89 1.00 0.88 0.88 266.55 22.67 23.93 0.54 0.89 115.35 628.70 54.69 414.19
2007 21 9 0 21.37500 25.54 118.95 374.14 164.12 325.42 287.88 47.71 22.27 23.60 25.44 24.10 386.55 451.28 422.05 427.00 442.87 430.25 23.26 29.82 69.28 0.86 45.64 468.22 0.87 1.00 0.88 0.88 337.59 26.55 25.99 0.72 0.87 222.70 643.46 120.87 614.07
