yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
1993 202 0 0 202.00000 -56.15 341.34 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 463.74 461.85 462.77 461.95 460.98 461.33 31.14 31.14 39.31 0.83 27.20 0.00 1.00 0.00 0.94 0.04 0.00 28.80 29.10 1.00 1.00 0.00 725.12 0.00 0.00
1993 202 1 0 202.04167 -57.68 7.06 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 459.73 457.85 458.78 457.96 457.00 457.35 30.48 30.48 41.50 0.83 26.55 0.00 1.00 0.00 0.94 0.04 0.00 27.92 28.15 1.00 1.00 0.00 718.86 0.00 0.00
1993 202 2 0 202.08333 -52.88 30.37 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 456.35 454.48 455.42 454.60 453.63 453.98 29.92 29.92 44.21 0.83 26.00 0.00 1.00 0.00 0.94 0.04 0.00 27.24 27.69 1.00 1.00 0.00 713.59 0.00 0.00
1993 202 3 0 202.12500 -43.67 46.41 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 454.31 452.45 453.39 452.57 451.60 451.95 29.58 29.58 46.55 0.83 25.66 0.00 1.00 0.00 0.94 0.04 0.00 26.77 27.17 1.00 1.00 0.00 710.41 0.00 0.00
1993 202 4 0 202.16667 -32.14 56.60 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 453.71 451.85 452.81 451.98 451.01 451.36 29.48 29.48 48.19 0.84 25.57 0.00 1.00 0.00 0.94 0.04 0.00 26.32 25.85 1.00 1.00 0.00 709.49 0.00 0.00
1993 202 5 0 202.20833 -19.43 63.20 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 452.09 450.24 451.20 450.37 449.40 449.75 29.21 29.21 49.16 0.84 25.30 0.00 1.00 0.00 0.94 0.04 0.00 25.67 24.68 1.00 1.00 0.00 706.97 0.00 0.00
1993 202 6 0 202.25000 -6.06 67.62 -999.00 -999.00 0.09 0.00 0.00 0.00 0.00 0.00 0.00 450.60 448.75 449.69 448.88 447.91 448.26 28.96 28.96 48.31 0.83 25.05 0.00 1.00 0.00 0.94 0.04 0.00 25.20 24.09 1.00 1.00 0.00 704.61 0.00 0.00
1993 202 7 0 202.29167 7.84 70.57 28.67 48.80 52.71 18.10 2.21 1.09 1.11 1.13 1.10 454.10 469.48 462.30 462.16 461.86 460.31 29.32 33.46 46.59 0.88 29.01 143.68 0.72 1.00 0.94 0.04 28.40 26.75 25.42 0.46 0.72 8.98 712.73 4.83 47.72
1993 202 8 0 202.33333 21.71 72.37 213.30 134.02 212.91 40.59 7.74 4.50 3.67 3.24 4.07 462.55 469.93 468.32 466.67 467.33 466.38 30.71 31.57 41.73 0.87 30.79 389.07 0.75 0.03 0.94 0.04 5.95 28.64 27.03 0.58 0.75 21.46 729.19 12.08 61.49
1993 202 9 0 202.37500 35.72 72.99 354.59 208.52 415.56 71.61 15.26 9.54 6.99 5.72 8.27 473.88 482.51 481.93 478.81 480.49 480.35 32.45 32.48 36.60 0.86 34.99 614.90 0.80 0.03 0.94 0.04 8.64 31.87 29.91 0.80 0.80 47.79 750.80 23.28 110.68
1993 202 10 0 202.41667 49.74 71.91 447.30 263.94 605.29 90.92 23.80 14.46 10.24 9.35 13.56 484.82 498.74 496.35 492.12 495.84 495.86 34.08 34.01 32.75 0.85 37.95 804.27 0.83 0.03 0.94 0.04 8.67 34.67 32.49 1.00 0.83 43.21 771.18 24.25 117.96
1993 202 11 0 202.45833 63.54 67.08 502.88 302.37 752.58 108.43 33.13 18.98 14.99 14.16 18.15 494.79 516.26 510.27 506.51 511.16 509.12 35.55 35.56 29.11 0.85 40.49 944.90 0.84 0.03 0.94 0.04 6.72 37.23 34.64 1.00 0.84 37.60 788.29 23.85 114.11
1993 202 12 0 202.50000 76.22 48.51 531.14 323.15 839.00 130.78 41.67 22.59 19.67 19.08 22.00 502.98 531.82 521.82 519.24 524.17 519.81 36.75 36.89 26.27 0.85 42.53 1026.56 0.83 0.03 0.94 0.04 3.80 39.26 36.39 1.00 0.83 32.97 801.60 22.86 105.69
1993 202 13 0 202.54167 80.32 337.01 540.24 323.80 856.35 137.20 36.48 23.80 16.61 12.68 19.88 506.96 535.16 529.78 522.79 515.60 521.54 37.53 37.84 24.38 0.84 42.02 1043.30 0.83 0.03 0.94 0.04 2.72 39.98 37.48 1.00 0.83 30.29 799.76 21.57 89.21
1993 202 14 0 202.58333 69.71 298.30 527.41 306.43 801.12 113.22 30.96 19.68 14.07 11.28 16.89 507.52 537.84 531.92 518.86 511.35 523.93 37.82 38.32 24.00 0.84 41.30 992.75 0.84 0.03 0.94 0.04 5.49 39.98 38.16 1.00 0.84 29.99 793.46 20.24 81.44
1993 202 15 0 202.62500 56.21 289.55 497.24 269.82 683.04 90.96 24.13 15.73 11.09 8.40 13.04 508.38 537.57 532.62 519.49 511.25 523.89 37.96 38.55 24.55 0.84 40.76 878.59 0.84 0.03 0.94 0.04 8.30 39.82 38.49 1.00 0.84 29.36 794.82 17.90 78.42
1993 202 16 0 202.66667 42.24 287.16 419.31 224.56 506.46 70.27 16.48 10.71 7.55 5.76 8.92 505.28 531.20 527.67 514.90 506.80 519.07 37.51 38.25 26.29 0.85 39.35 709.58 0.82 0.03 0.94 0.04 9.31 38.87 37.86 0.91 0.82 28.26 790.04 15.06 71.70
1993 202 17 0 202.70833 28.20 287.10 165.44 171.21 249.40 47.03 8.14 4.66 3.82 3.48 4.32 498.80 517.58 515.83 504.88 498.74 509.13 36.56 37.36 31.76 0.89 36.61 496.07 0.67 0.03 0.94 0.04 4.37 37.28 35.58 0.60 0.67 18.99 780.14 11.26 49.15
1993 202 18 0 202.75000 14.23 288.37 24.89 80.43 86.55 20.99 3.00 1.47 1.49 1.53 1.50 486.46 496.87 495.81 489.30 485.87 491.79 34.69 35.36 39.40 0.91 32.81 256.97 0.60 0.00 0.94 0.04 0.00 34.22 32.68 0.43 0.60 9.72 760.99 5.55 21.72
1993 202 19 0 202.79167 1.00 290.76 318.92 5.15 10.72 1.78 0.19 0.09 0.09 0.10 0.09 476.90 480.22 479.59 477.33 475.72 477.48 33.23 33.76 45.05 0.85 29.89 19.70 1.00 0.00 0.94 0.04 0.00 31.88 32.50 0.68 1.00 2.62 745.80 0.79 4.19
1993 202 20 0 202.83333 -13.33 294.42 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 473.46 471.51 472.58 471.69 470.63 471.01 32.72 32.72 46.47 0.85 28.77 0.00 1.00 0.00 0.94 0.04 0.00 31.06 32.25 1.00 1.00 0.00 740.46 0.00 0.00
1993 202 21 0 202.87500 -26.40 299.86 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 472.35 470.40 471.46 470.57 469.53 469.90 32.54 32.54 46.17 0.85 28.59 0.00 1.00 0.00 0.94 0.04 0.00 30.78 31.54 1.00 1.00 0.00 738.70 0.00 0.00
1993 202 22 0 202.91667 -38.61 308.13 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 466.87 464.95 466.01 465.12 464.08 464.46 31.65 31.65 49.90 0.85 27.71 0.00 1.00 0.00 0.94 0.04 0.00 29.66 30.35 1.00 1.00 0.00 730.16 0.00 0.00
1993 202 23 0 202.95833 -49.13 321.13 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 464.06 462.15 463.19 462.32 461.29 461.66 31.19 31.19 49.89 0.85 27.26 0.00 1.00 0.00 0.94 0.04 0.00 29.01 29.60 1.00 1.00 0.00 725.74 0.00 0.00
