yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2000 52 0 0 52.00000 -77.41 271.55 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 414.27 412.59 413.39 412.67 411.82 412.13 22.68 22.68 59.66 0.82 18.85 0.00 1.00 0.00 0.94 0.04 0.00 19.22 21.33 1.00 1.00 0.00 647.75 0.00 0.00
2000 52 1 0 52.04167 -87.78 73.64 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 416.18 414.49 415.30 414.57 413.71 414.03 23.02 23.02 59.36 0.82 19.18 0.00 1.00 0.00 0.94 0.04 0.00 20.19 22.12 1.00 1.00 0.00 650.74 0.00 0.00
2000 52 2 0 52.08333 -73.15 89.49 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 414.05 412.36 413.18 412.45 411.59 411.90 22.64 22.64 61.04 0.82 18.81 0.00 1.00 0.00 0.94 0.04 0.00 19.89 21.84 1.00 1.00 0.00 647.41 0.00 0.00
2000 52 3 0 52.12500 -58.46 92.04 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 407.15 405.49 406.29 405.58 404.73 405.04 21.40 21.40 65.57 0.82 17.59 0.00 1.00 0.00 0.94 0.04 0.00 17.78 20.09 1.00 1.00 0.00 636.62 0.00 0.00
2000 52 4 0 52.16667 -43.79 94.06 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 396.20 394.59 395.36 394.67 393.85 394.15 19.40 19.40 71.83 0.82 15.61 0.00 1.00 0.00 0.94 0.04 0.00 15.20 17.16 1.00 1.00 0.00 619.49 0.00 0.00
2000 52 5 0 52.20833 -29.17 96.10 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 391.24 389.65 390.40 389.72 388.92 389.21 18.48 18.48 73.14 0.82 14.70 0.00 1.00 0.00 0.94 0.04 0.00 13.95 15.33 1.00 1.00 0.00 611.72 0.00 0.00
2000 52 6 0 52.25000 -14.61 98.36 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 388.08 386.51 387.23 386.57 385.78 386.07 17.89 17.89 72.60 0.81 14.12 0.00 1.00 0.00 0.94 0.04 0.00 13.22 14.26 1.00 1.00 0.00 606.76 0.00 0.00
2000 52 7 0 52.29167 1.00 101.05 646.75 3.99 15.28 1.80 0.15 0.08 0.08 0.08 0.07 387.09 385.50 386.21 385.69 384.89 385.01 17.69 17.69 71.08 0.81 14.18 20.60 1.00 0.00 0.94 0.04 0.00 13.09 14.17 0.68 1.00 3.44 605.29 1.03 5.66
2000 52 8 0 52.33333 14.34 104.46 417.74 83.30 186.77 86.55 11.98 6.41 5.90 5.57 6.08 407.49 415.42 412.07 411.43 412.95 411.63 21.24 22.83 57.34 0.81 29.86 271.10 0.95 0.50 0.94 0.04 202.36 21.59 22.99 0.59 0.95 49.86 641.62 18.47 282.37
2000 52 9 0 52.37500 28.39 109.13 678.30 116.00 438.49 207.38 32.89 18.20 16.25 14.70 16.64 433.67 452.67 444.75 444.26 446.43 444.17 25.67 28.88 40.27 0.80 40.29 521.60 1.00 0.50 0.94 0.04 298.36 31.53 29.05 0.85 1.00 53.32 686.25 21.38 396.95
