yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2015 225 0 0 225.00000 -61.56 337.99 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 468.58 466.66 467.68 466.81 465.79 466.16 31.93 31.93 44.72 0.84 27.99 0.00 1.00 0.00 0.94 0.04 0.00 29.84 29.78 1.00 1.00 0.00 732.78 0.00 0.00
2015 225 1 0 225.04167 -63.24 9.39 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 465.64 463.73 464.73 463.88 462.86 463.23 31.45 31.45 45.18 0.84 27.51 0.00 1.00 0.00 0.94 0.04 0.00 29.24 29.43 1.00 1.00 0.00 728.17 0.00 0.00
2015 225 2 0 225.08333 -57.38 36.46 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 462.04 460.15 461.13 460.29 459.29 459.65 30.86 30.86 45.32 0.84 26.93 0.00 1.00 0.00 0.94 0.04 0.00 28.54 29.08 1.00 1.00 0.00 722.53 0.00 0.00
2015 225 3 0 225.12500 -46.95 53.03 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 457.62 455.74 456.70 455.87 454.89 455.25 30.13 30.13 45.77 0.84 26.21 0.00 1.00 0.00 0.94 0.04 0.00 27.69 28.54 1.00 1.00 0.00 715.60 0.00 0.00
2015 225 4 0 225.16667 -34.47 62.82 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 454.79 452.93 453.87 453.05 452.08 452.43 29.66 29.66 45.97 0.83 25.74 0.00 1.00 0.00 0.94 0.04 0.00 27.12 28.02 1.00 1.00 0.00 711.16 0.00 0.00
2015 225 5 0 225.20833 -21.06 69.02 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 453.11 451.25 452.19 451.37 450.41 450.76 29.38 29.38 46.27 0.83 25.47 0.00 1.00 0.00 0.94 0.04 0.00 26.64 27.33 1.00 1.00 0.00 708.53 0.00 0.00
2015 225 6 0 225.25000 -7.18 73.25 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 452.81 450.95 451.88 451.07 450.11 450.46 29.33 29.33 45.94 0.83 25.42 0.00 1.00 0.00 0.94 0.04 0.00 26.43 26.85 1.00 1.00 0.00 708.05 0.00 0.00
2015 225 7 0 225.29167 7.20 76.29 112.05 40.69 54.73 25.82 3.03 1.52 1.53 1.51 1.50 460.72 477.71 469.56 469.71 469.60 467.65 30.40 34.94 41.17 0.87 32.92 132.88 0.78 1.00 0.94 0.04 111.16 29.84 29.00 0.47 0.78 7.26 723.29 3.95 129.37
2015 225 8 0 225.33333 21.47 78.51 314.44 123.03 238.09 47.09 8.61 5.29 4.03 3.32 4.59 477.31 484.20 483.05 481.34 482.54 481.67 33.08 33.74 31.98 0.85 34.15 388.21 0.82 0.03 0.94 0.04 8.78 32.59 30.58 0.63 0.82 46.79 753.76 19.40 91.82
2015 225 9 0 225.37500 35.89 80.04 476.37 180.17 459.42 68.65 16.72 10.96 7.58 5.76 9.14 492.47 501.75 501.33 498.06 500.18 499.70 35.37 35.25 26.05 0.83 37.96 623.57 0.86 0.03 0.94 0.04 11.58 36.23 33.73 0.87 0.86 48.95 781.51 22.81 112.14
2015 225 10 0 225.41667 50.37 80.77 570.72 222.16 661.75 85.61 24.86 16.57 11.12 8.30 13.74 505.77 520.79 519.25 514.59 517.67 517.47 37.30 37.16 23.28 0.83 40.96 819.49 0.88 0.03 0.94 0.04 10.92 39.41 36.90 1.00 0.88 40.61 806.20 22.14 111.32
2015 225 11 0 225.45833 64.87 79.91 620.80 253.76 815.78 105.48 37.02 21.60 16.61 15.42 20.41 516.42 541.76 534.67 530.56 536.46 534.77 38.77 38.81 21.14 0.83 43.97 963.84 0.89 0.03 0.94 0.04 7.91 42.01 39.24 1.00 0.89 37.56 826.12 22.61 108.51
2015 225 12 0 225.50000 79.19 71.85 649.38 269.02 906.87 135.90 48.02 26.25 22.77 21.76 25.25 525.96 560.44 548.15 545.57 553.18 549.24 40.08 40.26 19.12 0.82 46.47 1046.92 0.88 0.03 0.94 0.04 3.65 44.26 41.15 1.00 0.88 34.35 843.54 22.10 99.39
2015 225 13 0 225.54167 84.70 306.92 660.77 266.49 924.44 146.30 40.80 26.16 18.47 14.64 22.33 529.84 563.95 556.26 544.62 536.11 548.14 41.13 41.44 17.53 0.82 45.27 1062.52 0.87 0.03 0.94 0.04 1.83 44.96 41.91 1.00 0.87 32.66 830.10 21.23 75.80
2015 225 14 0 225.58333 70.88 281.56 654.97 247.62 866.45 111.59 33.42 22.07 15.65 11.36 17.77 533.95 568.93 562.02 548.09 538.54 552.01 41.77 42.25 16.55 0.82 45.23 1009.13 0.89 0.03 0.94 0.04 6.44 45.46 42.42 1.00 0.89 31.75 834.63 19.67 75.50
2015 225 15 0 225.62500 56.41 279.19 627.90 215.93 738.98 85.60 25.99 17.64 11.92 8.35 14.08 536.17 571.02 564.85 550.06 540.01 554.33 42.10 42.71 16.03 0.82 44.94 890.22 0.89 0.03 0.94 0.04 10.42 45.50 42.65 1.00 0.89 30.26 838.09 17.10 73.62
2015 225 16 0 225.66667 41.91 279.43 552.21 181.22 550.07 63.50 17.15 11.92 7.63 5.23 9.51 534.59 565.02 561.12 545.86 536.18 550.97 41.90 42.66 15.96 0.82 43.61 714.24 0.87 0.03 0.94 0.04 12.33 44.46 42.24 0.98 0.87 25.42 835.66 12.90 65.69
2015 225 17 0 225.70833 27.45 280.65 264.33 157.13 278.96 41.56 8.13 4.95 3.76 3.19 4.38 522.27 543.65 541.61 529.50 522.28 533.86 40.13 40.76 21.36 0.86 40.10 489.35 0.74 0.00 0.94 0.04 0.00 42.19 39.80 0.66 0.74 22.85 816.69 10.53 46.77
2015 225 18 0 225.75000 13.08 282.57 197.47 74.71 119.41 19.64 3.14 1.67 1.49 1.46 1.65 499.87 514.49 511.82 504.46 500.69 507.51 36.76 37.76 34.91 0.88 35.12 237.46 0.78 0.00 0.94 0.04 0.00 37.32 35.48 0.51 0.78 9.08 781.78 5.17 20.66
2015 225 19 0 225.79167 -0.57 285.21 -999.00 -999.00 6.80 0.00 0.00 0.00 0.00 0.00 0.00 485.99 483.97 485.22 484.23 483.06 483.48 34.72 34.72 43.03 0.89 30.75 0.00 0.78 0.00 0.94 0.04 0.00 33.68 32.73 0.78 0.78 0.00 760.23 0.00 0.00
2015 225 20 0 225.83333 -15.38 288.85 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 482.53 480.52 481.76 480.77 479.62 480.04 34.17 34.17 43.82 0.89 30.21 0.00 0.78 0.00 0.94 0.04 0.00 32.87 33.00 0.78 0.78 0.00 754.80 0.00 0.00
2015 225 21 0 225.87500 -29.05 294.06 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 478.83 476.84 478.07 477.09 475.95 476.36 33.58 33.58 45.18 0.89 29.63 0.00 0.78 0.00 0.94 0.04 0.00 32.08 33.15 0.78 0.78 0.00 749.02 0.00 0.00
2015 225 22 0 225.91667 -42.04 302.03 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 471.08 469.11 470.34 469.37 468.24 468.64 32.33 32.33 49.94 0.89 28.39 0.00 0.78 0.00 0.94 0.04 0.00 30.49 30.67 0.78 0.78 0.00 736.90 0.00 0.00
