yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
1993 202 0 0 202.00000 -56.15 341.34 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 408.87 461.85 444.43 447.15 453.98 447.63 31.14 31.14 39.31 0.83 24.71 0.00 1.00 0.00 0.88 0.88 0.00 27.92 28.48 1.00 1.00 0.00 682.78 0.00 0.00
1993 202 1 0 202.04167 -57.68 7.06 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 406.22 457.85 440.91 443.57 450.26 444.04 30.48 30.48 41.50 0.83 24.11 0.00 1.00 0.00 0.88 0.88 0.00 27.08 27.54 1.00 1.00 0.00 677.74 0.00 0.00
1993 202 2 0 202.08333 -52.88 30.37 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.81 454.48 438.24 440.82 447.31 441.28 29.92 29.92 44.21 0.83 23.65 0.00 1.00 0.00 0.88 0.88 0.00 26.44 27.11 1.00 1.00 0.00 674.29 0.00 0.00
1993 202 3 0 202.12500 -43.67 46.41 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.58 452.45 436.85 439.36 445.67 439.81 29.58 29.58 46.55 0.83 23.41 0.00 1.00 0.00 0.88 0.88 0.00 26.02 26.61 1.00 1.00 0.00 672.81 0.00 0.00
1993 202 4 0 202.16667 -32.14 56.60 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 405.45 451.85 436.78 439.23 445.41 439.68 29.48 29.48 48.19 0.84 23.39 0.00 1.00 0.00 0.88 0.88 0.00 25.67 25.34 1.00 1.00 0.00 673.29 0.00 0.00
1993 202 5 0 202.20833 -19.43 63.20 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.26 450.24 435.32 437.75 443.88 438.20 29.21 29.21 49.16 0.84 23.14 0.00 1.00 0.00 0.88 0.88 0.00 25.06 24.19 1.00 1.00 0.00 671.14 0.00 0.00
1993 202 6 0 202.25000 -6.06 67.62 -999.00 -999.00 0.09 0.00 0.00 0.00 0.00 0.00 0.00 401.44 448.75 433.34 435.82 442.07 436.27 28.96 28.96 48.31 0.83 22.81 0.00 1.00 0.00 0.88 0.88 0.00 24.60 23.58 1.00 1.00 0.00 667.47 0.00 0.00
1993 202 7 0 202.29167 7.84 70.57 28.67 48.80 52.71 38.94 7.06 3.33 3.52 3.73 3.54 425.67 456.68 443.88 448.20 458.31 449.65 29.32 29.32 46.59 0.88 27.88 143.68 0.72 0.00 0.88 0.88 0.00 26.42 25.16 0.46 0.72 53.21 696.24 37.72 61.95
1993 202 8 0 202.33333 21.71 72.37 213.30 134.02 212.91 188.75 31.20 14.61 15.51 16.59 15.69 432.63 492.95 465.38 473.59 487.92 472.69 30.71 36.01 41.73 0.87 43.73 389.07 0.75 1.00 0.88 0.88 198.18 32.37 29.83 0.58 0.75 142.37 717.36 105.78 382.88
1993 202 9 0 202.37500 35.72 72.99 354.59 208.52 415.56 377.87 62.39 29.36 30.93 33.03 31.46 439.80 530.28 487.42 498.61 518.63 498.26 32.45 41.81 36.60 0.86 56.14 614.90 0.80 1.00 0.88 0.88 287.86 38.25 34.37 0.80 0.80 268.18 739.71 163.43 624.01
1993 202 10 0 202.41667 49.74 71.91 447.30 263.94 605.29 566.02 92.01 43.41 45.58 48.60 46.43 448.51 566.48 509.38 523.42 548.37 522.71 34.08 47.02 32.75 0.85 62.38 804.27 0.83 1.00 0.88 0.88 289.06 42.28 37.56 1.00 0.83 293.35 762.03 214.27 662.34
1993 202 11 0 202.45833 63.54 67.08 502.88 302.37 752.58 711.75 115.15 54.40 57.04 60.75 58.11 456.49 598.98 529.30 545.87 574.58 543.47 35.55 51.48 29.11 0.85 64.97 944.90 0.84 1.00 0.88 0.88 224.05 45.23 39.75 1.00 0.84 286.97 781.07 248.82 591.84
1993 202 12 0 202.50000 76.22 48.51 531.14 323.15 839.00 796.66 128.92 61.02 63.89 67.90 65.04 463.31 625.49 545.94 564.36 594.25 558.66 36.75 54.97 26.27 0.85 65.07 1026.56 0.83 1.00 0.88 0.88 126.54 47.25 41.25 1.00 0.83 268.89 794.62 266.71 468.95
1993 202 13 0 202.54167 80.32 337.01 540.24 323.80 856.35 810.06 118.78 62.34 58.91 56.45 59.87 460.17 632.29 569.42 573.86 569.66 557.06 37.53 57.50 24.38 0.84 63.44 1043.30 0.83 1.00 0.88 0.88 90.80 48.18 42.28 1.00 0.83 254.78 788.72 263.16 407.41
1993 202 14 0 202.58333 69.71 298.30 527.41 306.43 801.12 745.91 110.30 58.28 54.78 52.02 55.52 457.34 640.27 577.42 568.76 560.23 561.72 37.82 59.19 24.00 0.84 64.52 992.75 0.84 1.00 0.88 0.88 182.86 49.86 43.59 1.00 0.84 249.86 775.98 237.83 480.61
1993 202 15 0 202.62500 56.21 289.55 497.24 269.82 683.04 617.38 93.09 49.61 46.11 43.48 46.98 459.05 643.20 581.68 569.00 560.09 564.25 37.96 60.00 24.55 0.84 65.10 878.59 0.84 1.00 0.88 0.88 276.57 51.27 44.35 1.00 0.84 233.62 776.77 192.72 554.79
1993 202 16 0 202.66667 42.24 287.16 419.31 224.56 506.46 428.90 68.32 36.58 33.80 31.74 34.52 459.54 634.34 577.91 562.03 553.25 559.81 37.51 59.20 26.29 0.85 62.26 709.58 0.82 1.00 0.88 0.88 310.41 49.88 43.42 0.91 0.82 197.80 773.31 138.31 546.41
1993 202 17 0 202.70833 28.20 287.10 165.44 171.21 249.40 129.57 26.83 13.54 13.30 13.29 13.53 471.17 548.29 531.78 518.34 513.55 519.11 36.56 42.22 31.76 0.89 43.82 496.07 0.67 0.00 0.88 0.88 0.00 39.73 37.12 0.60 0.67 158.68 774.53 124.55 183.34
1993 202 18 0 202.75000 14.23 288.37 24.89 80.43 86.55 59.56 11.51 5.55 5.75 5.96 5.76 468.45 510.37 504.94 495.23 493.85 497.36 34.69 36.57 39.40 0.91 36.46 256.97 0.60 0.00 0.88 0.88 0.00 35.34 33.43 0.43 0.60 76.17 762.30 57.54 86.33
1993 202 19 0 202.79167 1.00 290.76 318.92 5.15 10.72 2.50 0.74 0.36 0.37 0.38 0.37 432.85 484.79 468.13 467.72 472.99 470.27 33.23 34.07 45.05 0.85 28.70 19.70 1.00 0.00 0.88 0.88 0.00 31.42 32.21 0.68 1.00 6.45 714.23 2.37 11.14
