yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2000 52 0 0 52.00000 -77.41 271.55 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 363.08 412.59 396.24 398.75 405.06 399.18 22.68 22.68 59.66 0.82 16.29 0.00 1.00 0.00 0.88 0.88 0.00 18.36 20.55 1.00 1.00 0.00 607.83 0.00 0.00
2000 52 1 0 52.04167 -87.78 73.64 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 365.36 414.49 398.29 400.78 407.06 401.22 23.02 23.02 59.36 0.82 16.66 0.00 1.00 0.00 0.88 0.88 0.00 19.20 21.34 1.00 1.00 0.00 611.23 0.00 0.00
2000 52 2 0 52.08333 -73.15 89.49 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 363.75 412.36 396.34 398.82 405.04 399.25 22.64 22.64 61.04 0.82 16.31 0.00 1.00 0.00 0.88 0.88 0.00 18.90 21.07 1.00 1.00 0.00 608.35 0.00 0.00
2000 52 3 0 52.12500 -58.46 92.04 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 357.70 405.49 389.74 392.17 398.29 392.60 21.40 21.40 65.57 0.82 15.09 0.00 1.00 0.00 0.88 0.88 0.00 16.98 19.32 1.00 1.00 0.00 598.22 0.00 0.00
2000 52 4 0 52.16667 -43.79 94.06 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 347.06 394.59 378.89 381.30 387.34 381.71 19.40 19.40 71.83 0.82 13.07 0.00 1.00 0.00 0.88 0.88 0.00 14.48 16.36 1.00 1.00 0.00 581.14 0.00 0.00
2000 52 5 0 52.20833 -29.17 96.10 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 341.29 389.65 373.63 376.06 382.17 376.48 18.48 18.48 73.14 0.82 12.08 0.00 1.00 0.00 0.88 0.88 0.00 13.27 14.49 1.00 1.00 0.00 572.48 0.00 0.00
2000 52 6 0 52.25000 -14.61 98.36 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 336.90 386.51 370.03 372.50 378.71 372.91 17.89 17.89 72.60 0.81 11.40 0.00 1.00 0.00 0.88 0.88 0.00 12.53 13.38 1.00 1.00 0.00 566.27 0.00 0.00
2000 52 7 0 52.29167 1.00 101.05 646.75 3.99 15.28 2.04 0.56 0.27 0.28 0.29 0.28 335.37 385.44 368.56 371.18 378.40 371.75 17.69 17.69 71.08 0.81 11.81 20.60 1.00 0.00 0.88 0.88 0.00 12.49 13.41 0.68 1.00 5.28 564.61 1.93 14.29
2000 52 8 0 52.33333 14.34 104.46 417.74 83.30 186.77 161.00 26.53 11.85 13.12 14.69 13.42 354.88 424.93 395.65 401.77 418.09 404.20 21.24 25.31 57.34 0.81 38.84 271.10 0.95 1.00 0.88 0.88 404.72 25.44 25.64 0.59 0.95 121.47 604.35 54.57 570.76
2000 52 9 0 52.37500 28.39 109.13 678.30 116.00 438.49 409.21 66.26 30.88 32.45 35.38 33.81 375.10 474.36 430.76 438.60 461.20 442.29 25.67 33.43 40.27 0.80 54.48 521.60 1.00 1.00 0.88 0.88 596.73 39.05 32.89 0.85 1.00 163.00 646.77 80.43 826.34
2000 52 10 0 52.41667 41.96 116.14 814.71 128.78 673.55 645.24 103.79 48.94 50.63 54.85 53.15 380.30 513.43 453.62 462.73 491.13 467.86 27.84 39.47 29.08 0.78 60.83 738.27 1.00 1.00 0.88 0.88 605.79 41.40 35.01 1.00 1.00 163.99 665.75 91.13 839.59
2000 52 11 0 52.45833 54.48 127.92 880.34 139.76 856.27 830.66 133.45 63.46 65.12 69.98 68.33 387.17 546.72 474.14 482.14 515.97 490.54 29.56 44.33 24.20 0.77 62.91 900.94 1.00 1.00 0.88 0.88 511.47 41.52 35.62 1.00 1.00 155.50 682.25 102.37 727.97
2000 52 12 0 52.50000 64.32 149.82 911.37 147.30 968.62 941.81 151.58 72.30 73.88 79.29 77.70 393.87 573.86 491.33 496.79 534.30 509.60 30.81 48.16 22.52 0.77 63.01 997.60 1.00 1.00 0.88 0.88 395.01 41.42 35.69 1.00 1.00 147.33 694.38 107.15 591.55
2000 52 13 0 52.54167 67.60 185.64 840.77 222.35 999.68 955.93 142.63 74.04 72.65 68.59 69.98 395.61 586.10 507.31 504.25 526.59 518.38 31.59 50.93 22.27 0.77 62.95 1022.46 1.00 1.00 0.88 0.88 320.38 41.27 35.64 1.00 1.00 204.97 693.46 163.91 573.16
2000 52 14 0 52.58333 61.93 218.09 915.74 138.61 946.65 916.23 125.13 70.70 62.05 54.43 63.07 395.34 588.84 519.78 507.35 514.52 517.73 31.80 52.54 22.92 0.78 62.77 974.64 1.00 1.00 0.88 0.88 430.87 40.99 35.47 1.00 1.00 132.98 691.88 95.26 601.10
2000 52 15 0 52.62500 51.04 236.33 887.72 124.41 814.69 780.67 105.51 60.79 51.80 44.72 53.71 394.36 586.91 523.88 507.96 505.95 512.34 31.45 52.94 24.73 0.78 63.82 857.40 1.00 1.00 0.88 0.88 558.17 40.91 35.32 1.00 1.00 122.44 687.99 79.35 719.27
2000 52 16 0 52.66667 38.12 246.35 822.14 108.73 616.25 67.23 33.84 23.16 16.78 10.68 17.06 391.11 515.73 487.25 470.84 464.95 470.98 30.67 36.24 27.10 0.79 35.64 679.69 1.00 0.00 0.88 0.88 0.00 30.21 27.95 1.00 1.00 107.24 677.39 58.88 142.88
2000 52 17 0 52.70833 24.37 252.54 686.92 90.54 373.94 45.10 20.21 12.50 9.98 7.71 10.23 386.45 484.96 466.07 452.69 448.67 451.34 29.63 31.28 29.71 0.79 30.93 453.86 1.00 0.00 0.88 0.88 0.00 27.80 26.21 0.80 1.00 82.48 666.64 39.94 113.14
2000 52 18 0 52.75000 10.24 256.79 407.61 54.30 126.79 24.61 8.12 4.07 4.13 4.05 3.98 380.76 457.47 440.01 433.97 436.77 433.35 28.23 28.99 33.69 0.79 25.56 195.63 0.96 0.00 0.88 0.88 0.00 24.96 24.49 0.54 0.96 50.00 651.48 22.74 66.50
2000 52 19 0 52.79167 -4.11 259.98 -999.00 -999.00 2.50 0.00 0.00 0.00 0.00 0.00 0.00 376.61 437.28 416.99 419.95 427.40 420.44 27.01 27.01 38.62 0.80 20.06 0.00 0.96 0.00 0.88 0.88 0.00 22.39 23.30 0.96 0.96 0.00 636.23 0.00 0.00
2000 52 20 0 52.83333 -18.81 262.56 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 374.67 433.33 413.75 416.63 423.88 417.11 26.33 26.33 41.56 0.80 19.48 0.00 0.96 0.00 0.88 0.88 0.00 22.12 23.52 0.96 0.96 0.00 631.91 0.00 0.00
2000 52 21 0 52.87500 -33.39 264.80 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 371.52 426.88 408.47 411.22 418.13 411.68 25.21 25.21 46.91 0.81 18.53 0.00 0.96 0.00 0.88 0.88 0.00 21.04 22.73 0.96 0.96 0.00 624.86 0.00 0.00
2000 52 22 0 52.91667 -48.04 266.93 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 367.06 417.40 400.78 403.32 409.73 403.76 23.54 23.54 56.46 0.82 17.12 0.00 0.96 0.00 0.88 0.88 0.00 18.83 20.50 0.96 0.96 0.00 614.68 0.00 0.00
