yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2015 225 0 0 225.00000 -61.56 337.99 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 421.61 466.66 452.14 454.56 460.67 455.01 31.93 31.93 44.72 0.84 25.95 0.00 1.00 0.00 0.88 0.88 0.00 29.17 29.31 1.00 1.00 0.00 698.15 0.00 0.00
2015 225 1 0 225.04167 -63.24 9.39 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 418.19 463.73 449.02 451.46 457.59 451.91 31.45 31.45 45.18 0.84 25.43 0.00 1.00 0.00 0.88 0.88 0.00 28.54 28.93 1.00 1.00 0.00 693.01 0.00 0.00
2015 225 2 0 225.08333 -57.38 36.46 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 413.54 460.15 445.04 447.51 453.73 447.96 30.86 30.86 45.32 0.84 24.78 0.00 1.00 0.00 0.88 0.88 0.00 27.79 28.55 1.00 1.00 0.00 686.28 0.00 0.00
2015 225 3 0 225.12500 -46.95 53.03 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 408.15 455.74 440.26 442.76 449.06 443.22 30.13 30.13 45.77 0.84 23.98 0.00 1.00 0.00 0.88 0.88 0.00 26.89 27.98 1.00 1.00 0.00 678.32 0.00 0.00
2015 225 4 0 225.16667 -34.47 62.82 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.61 452.93 437.17 439.70 446.05 440.15 29.66 29.66 45.97 0.83 23.46 0.00 1.00 0.00 0.88 0.88 0.00 26.28 27.43 1.00 1.00 0.00 673.14 0.00 0.00
2015 225 5 0 225.20833 -21.06 69.02 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 402.70 451.25 435.41 437.94 444.31 438.39 29.38 29.38 46.27 0.83 23.17 0.00 1.00 0.00 0.88 0.88 0.00 25.82 26.75 1.00 1.00 0.00 670.25 0.00 0.00
2015 225 6 0 225.25000 -7.18 73.25 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 401.97 450.95 434.95 437.49 443.90 437.95 29.33 29.33 45.94 0.83 23.09 0.00 1.00 0.00 0.88 0.88 0.00 25.64 26.26 1.00 1.00 0.00 669.35 0.00 0.00
2015 225 7 0 225.29167 7.20 76.29 112.05 40.69 54.73 32.48 5.99 2.83 2.93 3.17 3.07 425.14 460.05 447.53 450.57 460.16 452.59 30.40 30.40 41.17 0.87 27.92 132.88 0.78 0.00 0.88 0.88 0.00 28.16 27.79 0.47 0.78 43.59 699.43 31.41 54.14
2015 225 8 0 225.33333 21.47 78.51 314.44 123.03 238.09 208.96 35.12 16.25 17.41 18.87 17.71 436.26 510.33 477.06 485.92 504.13 486.77 33.08 38.86 31.98 0.85 49.59 388.21 0.82 1.00 0.88 0.88 292.63 37.72 34.02 0.63 0.82 177.32 732.51 89.72 518.55
2015 225 9 0 225.37500 35.89 80.04 476.37 180.17 459.42 425.33 69.69 32.57 34.46 37.12 35.23 445.16 557.98 505.01 518.49 543.12 519.08 35.37 45.91 26.05 0.83 60.95 623.57 0.86 1.00 0.88 0.88 385.94 43.72 38.59 0.87 0.86 238.51 761.11 138.57 696.26
