yyyy id   it imin dectime altitude azimuth kdir kdiff kglobal kdown   kup    keast ksouth kwest knorth ldown   lup    least lsouth lwest  lnorth   Ta      Tg     RH    Esky   Tmrt    I0     CI   Shadow  SVF_b  SVF_bv KsideI PET UTCI  CI_Tg   CI_TgG  KsideD  Lside   diffDown    Kside
2007 21 0 0 21.00000 -75.56 232.41 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 407.11 405.44 406.32 405.56 404.68 405.00 21.39 21.39 79.33 0.84 17.58 0.00 1.00 0.00 0.94 0.04 0.00 16.47 16.32 1.00 1.00 0.00 636.64 0.00 0.00
2007 21 1 0 21.04167 -81.07 162.51 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 406.11 404.45 405.32 404.57 403.69 404.01 21.21 21.21 80.09 0.84 17.40 0.00 1.00 0.00 0.94 0.04 0.00 16.35 16.47 1.00 1.00 0.00 635.08 0.00 0.00
2007 21 2 0 21.08333 -70.88 118.57 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 405.34 403.68 404.55 403.80 402.92 403.24 21.07 21.07 80.71 0.84 17.27 0.00 1.00 0.00 0.94 0.04 0.00 16.34 17.00 1.00 1.00 0.00 633.88 0.00 0.00
2007 21 3 0 21.12500 -57.36 109.22 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 405.29 403.62 404.50 403.75 402.87 403.19 21.06 21.06 81.08 0.84 17.26 0.00 1.00 0.00 0.94 0.04 0.00 16.42 17.41 1.00 1.00 0.00 633.79 0.00 0.00
2007 21 4 0 21.16667 -43.37 106.72 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 405.18 403.51 404.39 403.64 402.76 403.08 21.04 21.04 81.80 0.84 17.24 0.00 1.00 0.00 0.94 0.04 0.00 16.46 17.68 1.00 1.00 0.00 633.62 0.00 0.00
2007 21 5 0 21.20833 -29.30 106.62 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.13 402.47 403.35 402.60 401.72 402.04 20.85 20.85 82.40 0.84 17.05 0.00 1.00 0.00 0.94 0.04 0.00 16.30 17.65 1.00 1.00 0.00 631.99 0.00 0.00
2007 21 6 0 21.25000 -15.29 107.84 -999.00 -999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 404.19 402.53 403.40 402.65 401.77 402.09 20.86 20.86 82.22 0.84 17.06 0.00 1.00 0.00 0.94 0.04 0.00 16.38 17.95 1.00 1.00 0.00 632.07 0.00 0.00
2007 21 7 0 21.29167 -0.63 110.15 -999.00 -999.00 7.38 0.00 0.00 0.00 0.00 0.00 0.00 403.20 401.54 402.41 401.67 400.79 401.11 20.68 20.68 83.00 0.84 16.88 0.00 1.00 0.00 0.94 0.04 0.00 16.31 18.20 1.00 1.00 0.00 630.53 0.00 0.00
2007 21 8 0 21.33333 12.39 113.69 272.90 81.61 140.16 91.34 10.34 5.49 5.03 4.85 5.31 413.07 432.84 424.02 422.29 422.93 423.02 22.17 27.07 75.58 0.86 33.21 233.05 0.89 1.00 0.94 0.04 266.55 21.93 23.36 0.54 0.89 43.82 649.02 16.96 334.62
2007 21 9 0 21.37500 25.54 118.95 374.14 164.12 325.42 138.84 19.63 10.95 9.43 8.68 10.21 419.45 437.84 430.38 428.45 429.70 429.35 23.26 27.02 69.28 0.86 33.04 468.22 0.87 0.50 0.94 0.04 168.79 22.11 22.66 0.72 0.87 58.63 661.20 25.62 272.18
2007 21 10 0 21.41667 37.89 126.92 429.22 235.01 498.62 208.48 31.99 17.42 15.75 14.57 16.24 425.85 450.14 440.08 437.73 439.75 439.12 24.30 28.65 61.83 0.86 36.05 668.34 0.87 0.50 0.94 0.04 169.36 23.40 22.85 0.88 0.87 58.15 672.35 28.66 284.84
2007 21 11 0 21.45833 48.67 139.46 362.29 315.74 587.77 230.81 37.08 19.48 18.78 17.60 18.30 429.88 460.24 447.13 444.82 446.98 446.11 24.94 29.98 57.86 0.86 36.18 818.02 0.80 0.50 0.94 0.04 119.63 24.05 23.19 0.93 0.80 52.61 678.82 29.79 240.64
2007 21 12 0 21.50000 56.29 159.06 616.57 275.05 787.96 343.84 58.75 31.28 29.75 27.47 29.01 435.30 476.68 458.60 455.03 457.86 458.00 25.80 32.29 54.07 0.84 40.63 906.88 0.93 0.50 0.94 0.04 171.09 26.42 24.99 1.00 0.93 39.92 688.04 23.52 271.77
2007 21 13 0 21.54167 58.38 185.04 697.34 250.25 844.09 380.33 61.21 35.61 28.70 25.61 32.52 438.48 485.89 466.99 459.49 460.43 466.26 26.32 33.98 52.36 0.83 41.82 928.48 0.96 0.50 0.94 0.04 182.78 27.40 25.72 1.00 0.96 37.21 691.88 21.45 271.93
2007 21 14 0 21.58333 53.97 209.25 711.10 227.58 802.64 361.41 55.68 33.53 26.87 22.15 28.81 439.35 489.85 471.05 462.26 458.11 467.58 26.51 34.96 53.16 0.83 42.01 880.81 0.98 0.50 0.94 0.04 209.15 27.54 25.83 1.00 0.98 33.88 690.20 18.79 284.87
2007 21 15 0 21.62500 44.92 225.98 767.55 169.79 711.74 325.68 49.11 30.19 23.77 18.92 25.34 438.88 490.90 472.24 462.77 456.68 466.92 26.44 35.41 54.32 0.83 42.82 768.56 1.00 0.50 0.94 0.04 271.76 27.76 26.03 1.00 1.00 29.10 688.39 14.32 332.16
2007 21 16 0 21.66667 33.42 236.54 672.63 147.47 517.96 228.26 33.16 20.59 15.97 12.57 17.19 435.90 486.25 468.83 458.98 451.80 462.03 25.97 35.06 56.76 0.83 40.77 599.20 1.00 0.50 0.94 0.04 280.70 26.61 25.23 0.95 1.00 25.02 682.50 11.21 331.32
