,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,175.54658385093168,204.0,313.0,1.0,302.67923,302.88422,318.10046,277.80902
1,Mexico,101.38190954773869,110.0,280.0,1.0,299.11154,299.7197,320.42386,271.2393
2,Colombia,172.11458333333334,205.0,330.0,2.0,302.06308,302.48645,313.396,289.4492
3,Argentina,73.72146118721462,71.0,237.0,1.0,292.07193,291.59256,318.51886,266.17932
4,Peru,150.6984126984127,164.0,263.0,1.0,297.5983,298.94812,312.68225,273.85178
5,Venezuela,214.74444444444444,236.5,335.0,8.0,303.86063,303.79636,312.59824,292.27432
6,Chile,8.875,5.5,43.0,1.0,286.8573,285.9704,313.61127,266.17932
7,Ecuador,78.53333333333333,89.0,162.0,1.0,298.84268,299.1153,308.8163,283.7745
8,Guatemala,101.94117647058823,86.0,240.0,9.0,301.19562,301.43866,312.74622,286.20163
9,Bolivia,173.02702702702703,204.0,272.0,1.0,298.46634,300.69287,317.9614,274.69595
10,Haiti,60.833333333333336,74.5,96.0,15.0,301.35184,301.39215,306.6895,292.99185
11,Dominican Republic,37.9,24.0,96.0,7.0,300.7903,300.71014,306.6895,292.99185
12,Cuba,56.714285714285715,45.5,138.0,2.0,300.91446,301.0804,308.14746,288.6379
13,Honduras,107.26315789473684,109.0,225.0,2.0,301.6352,301.69537,309.75403,288.45264
14,Nicaragua,152.3,163.5,323.0,27.0,302.73706,302.7223,310.1,290.64117
15,Paraguay,200.06666666666666,217.0,264.0,95.0,302.90588,303.8136,316.51688,281.6728
16,El Salvador,116.5,122.5,225.0,9.0,301.32785,301.93713,308.52942,289.60352
17,Costa Rica,105.0,91.0,251.0,6.0,301.98438,301.96436,309.1182,292.91754
18,Panama,99.53333333333333,93.0,267.0,1.0,302.21957,302.29614,309.97375,292.91754
19,Uruguay,47.47826086956522,49.0,97.0,1.0,294.515,294.2865,314.1661,278.5071
20,Jamaica,22.75,16.5,53.0,5.0,301.06296,301.00677,304.65482,295.92313
21,Trinidad & Tobago,51.0,51.0,97.0,5.0,301.3775,301.3471,305.2179,298.64902
22,Guyana,244.27586206896552,269.0,340.0,2.0,304.5983,304.47086,312.9027,292.61255
23,Suriname,269.5263157894737,305.0,350.0,3.0,305.1528,305.11353,312.9027,295.27097
24,"Bahamas, The",12.923076923076923,4.0,58.0,1.0,299.12167,299.0885,305.76257,285.99136
25,Belize,135.0,119.0,231.0,60.0,302.2817,302.27924,312.24677,288.45264
26,Barbados,,,,,300.46204,300.5379,302.87927,298.07925
27,St Lucia,,,,,300.4578,300.49475,302.9169,297.7949
28,Grenada,,,,,300.54977,300.6256,302.99905,298.4063
29,St Vincent & the Grenadines,,,,,300.55075,300.61932,302.99905,298.20233
30,Antigua & Barbuda,,,,,300.03165,299.78064,302.9212,296.50302
31,Dominica,2.0,2.0,2.0,2.0,300.56573,300.5382,303.2664,297.24213
32,St Kitts & Nevis,,,,,300.05157,299.79453,302.81564,296.54468
