,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,270.6968085106383,325.5,365.0,2.0,305.9153,306.44434,319.93262,281.8579
1,Mexico,158.75833333333333,163.0,284.0,1.0,301.51123,301.9911,323.77197,273.79614
2,Colombia,260.54545454545456,344.0,364.0,4.0,305.9014,305.22437,318.4519,296.63452
3,Argentina,74.98461538461538,70.5,216.0,1.0,293.2587,292.75684,324.0371,267.00146
4,Peru,208.6078431372549,275.0,363.0,1.0,302.04715,301.91736,317.5498,279.89185
5,Venezuela,305.7090909090909,352.0,364.0,28.0,306.49377,305.9607,317.31592,297.09766
6,Chile,13.551724137931034,6.0,66.0,1.0,289.04865,288.15967,310.30737,267.00146
7,Ecuador,67.91304347826087,28.0,306.0,7.0,302.26483,302.0332,309.24902,297.7859
8,Guatemala,218.45454545454547,215.0,281.0,175.0,303.89413,303.93652,317.9817,291.40967
9,Bolivia,225.95652173913044,286.5,355.0,1.0,301.23535,301.6128,319.93262,278.4851
10,Haiti,232.16666666666666,236.5,307.0,144.0,303.56082,303.62646,308.14648,297.68066
11,Dominican Republic,203.25,217.5,307.0,62.0,303.4079,303.349,308.14648,297.34106
12,Cuba,186.0,199.5,300.0,49.0,302.77786,303.20935,309.0188,292.07104
13,Honduras,207.15384615384616,197.0,299.0,127.0,303.3497,303.43652,311.55518,292.79004
14,Nicaragua,264.85714285714283,276.0,351.0,151.0,304.25735,304.10767,311.55518,296.84595
15,Paraguay,197.43333333333334,204.5,268.0,118.0,303.3341,303.9663,320.68286,279.98706
16,El Salvador,259.25,254.5,325.0,203.0,304.1681,304.2124,310.7837,297.06177
17,Costa Rica,286.0,306.0,351.0,148.0,304.47226,304.24756,311.3484,298.76147
18,Panama,310.90909090909093,317.0,356.0,194.0,304.39777,304.3462,308.82544,299.71484
19,Uruguay,73.3125,83.0,100.0,4.0,296.8818,296.25513,317.2754,282.04565
20,Jamaica,233.0,212.0,292.0,195.0,303.41733,303.6084,306.489,297.42725
21,Trinidad & Tobago,166.0,90.0,324.0,84.0,303.09543,303.04736,305.31738,301.30273
22,Guyana,319.94444444444446,356.0,365.0,51.0,306.44995,306.03552,315.0481,300.56274
23,Suriname,359.6923076923077,360.0,365.0,347.0,307.11914,306.97607,313.90186,301.3816
24,"Bahamas, The",77.2,86.0,144.0,5.0,301.09888,301.72522,307.97925,286.3203
25,Belize,233.33333333333334,239.0,281.0,180.0,304.3735,304.43384,317.9817,292.79004
26,Barbados,36.0,36.0,36.0,36.0,302.62646,302.75854,303.7229,301.2871
27,St Lucia,49.0,49.0,49.0,49.0,302.63177,302.7964,303.5852,301.40454
28,Grenada,80.5,80.5,93.0,68.0,302.74048,302.82104,303.92432,301.292
29,St Vincent & the Grenadines,68.0,68.0,68.0,68.0,302.7169,302.85352,303.71167,301.56934
30,Antigua & Barbuda,7.0,7.0,9.0,5.0,302.1717,302.26367,303.2461,299.93823
31,Dominica,17.0,17.0,17.0,17.0,302.43738,302.56445,303.35352,300.75952
32,St Kitts & Nevis,7.0,7.0,9.0,5.0,302.1717,302.26367,303.2461,299.93823
