,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,211.2356495468278,258.5,344.0,1.0,303.9086,303.8036,319.74982,280.0659
1,Mexico,119.89268292682927,132.0,284.0,1.0,299.73718,300.44916,319.07513,271.77454
2,Colombia,218.30693069306932,263.0,357.0,1.0,303.21234,303.5459,314.13904,290.122
3,Argentina,75.13636363636364,66.5,256.0,1.0,292.6232,292.01096,320.92273,265.71396
4,Peru,195.63235294117646,250.5,305.0,1.0,298.7618,300.04736,317.33157,276.27057
5,Venezuela,272.5,287.0,358.0,63.0,305.33136,305.46478,314.05896,293.68152
6,Chile,10.472222222222221,7.0,47.0,1.0,287.93088,287.2945,314.84705,265.71396
7,Ecuador,107.0,96.5,241.0,1.0,299.94476,300.1392,313.52893,288.30984
8,Guatemala,147.23529411764707,167.0,298.0,32.0,302.12244,302.3392,314.82053,285.852
9,Bolivia,223.4189189189189,260.5,306.0,1.0,300.06845,302.08856,318.00754,272.0806
10,Haiti,117.0,124.0,154.0,49.0,302.34067,302.23196,308.54434,295.83612
11,Dominican Republic,84.4,83.5,148.0,20.0,301.6642,301.57135,308.54434,295.5118
12,Cuba,94.53571428571429,81.0,182.0,33.0,301.53607,301.716,308.97006,289.25116
13,Honduras,147.0,141.0,311.0,55.0,302.4526,302.49103,312.4153,287.71295
14,Nicaragua,219.8,253.0,348.0,65.0,303.81912,303.67456,313.0628,289.56647
15,Paraguay,239.3111111111111,241.0,306.0,141.0,304.94122,305.4093,318.53305,284.7887
16,El Salvador,187.0,201.5,311.0,32.0,302.53583,303.24316,309.28796,288.22208
17,Costa Rica,182.41666666666666,209.5,329.0,6.0,303.21344,303.14917,311.152,293.89502
18,Panama,188.66666666666666,194.0,321.0,8.0,303.1228,303.22577,311.9001,293.89502
19,Uruguay,44.17391304347826,40.0,95.0,2.0,295.42075,295.4584,315.44592,281.30954
20,Jamaica,73.75,73.5,96.0,52.0,301.7991,301.6845,305.62753,297.66217
21,Trinidad & Tobago,77.0,62.0,144.0,25.0,302.0138,301.91327,306.52325,299.2481
22,Guyana,276.41379310344826,297.0,343.0,20.0,305.83127,305.83884,315.12357,293.68152
23,Suriname,270.7,315.5,343.0,2.0,305.8873,305.74274,315.12357,296.32538
24,"Bahamas, The",23.6,16.0,70.0,10.0,299.7157,300.0062,306.20276,286.41943
25,Belize,170.42857142857142,167.0,245.0,106.0,302.95886,302.9257,314.29218,287.71295
26,Barbados,26.0,26.0,26.0,26.0,300.94684,300.62402,303.80542,298.6939
27,St Lucia,23.75,22.5,34.0,16.0,300.98578,300.72565,303.8888,298.4228
28,Grenada,21.0,21.0,21.0,21.0,301.1178,300.89993,304.0463,299.06314
29,St Vincent & the Grenadines,22.5,22.5,24.0,21.0,301.11127,300.87183,304.0463,298.89536
30,Antigua & Barbuda,7.5,7.5,9.0,6.0,300.62366,300.27847,303.64978,297.33652
31,Dominica,56.0,56.0,56.0,56.0,301.12167,300.86377,303.7791,298.56146
32,St Kitts & Nevis,9.0,9.0,9.0,9.0,300.656,300.36185,303.64587,297.33652
