Region,Country,City,Pop,latitude,longitude
Caribbean,Cuba,Camaguey,304,21.3791765,-77.9183681
Caribbean,Cuba,La Habana,2124,23.135305,-82.3589631
Caribbean,Cuba,Santiago de Cuba,431,20.0214637,-75.8294928
Caribbean,Dominican Republic,Santiago,626,19.4503932,-70.6909047
Caribbean,Dominican Republic,Santo Domingo,2945,18.4801972,-69.942111
Caribbean,Haiti,Port-au-Prince,2439,18.547327,-72.3395928
Caribbean,Jamaica,Kingston,587,17.9712148,-76.7928128
Caribbean,Trinidad & Tobago,Port of Spain,545,10.6572678,-61.5180173
Central America,Costa Rica,Alajuela,280,10.45233165,-84.46632843
Central America,Costa Rica,Heredia,326,10.3767813,-84.01397214
Central America,Costa Rica,San José,1297,9.9325427,-84.0795782
Central America,El Salvador,San Salvador,1099,13.6989939,-89.1914249
Central America,Guatemala,Ciudad de Guatemala,2738,14.6424667,-90.5131361
Central America,Honduras,San Pedro Sula,767,15.49363865,-88.00776696
Central America,Honduras,Tegucigalpa,1233,14.1057433,-87.2040052
Central America,Mexico,Acapulco de Juárez,920,16.8680495,-99.8940182
Central America,Mexico,Aguascalientes,1017,22.0000001,-102.5000001
Central America,Mexico,Cancún,802,21.1618955,-86.8514988
Central America,Mexico,Celaya,640,20.521788,-100.8140458
Central America,Mexico,Chihuahua,950,28.5000001,-106.0000001
Central America,Mexico,Ciudad de México,21340,19.4326296,-99.1331785
Central America,Mexico,Ciudad Juárez,1423,31.7372575,-106.485655
Central America,Mexico,Ciudad Obregón,334,27.4846619,-109.9337782
Central America,Mexico,Ciudad Victoria,333,23.7389846,-99.1441352
Central America,Mexico,Coatzacoalcos,371,18.1396787,-94.4501731
Central America,Mexico,Colima,371,19.166667,-104
Central America,Mexico,Córdoba,334,18.8944704,-96.9352891
Central America,Mexico,Cuautla Morelos,474,18.8290118,-98.9432244
Central America,Mexico,Cuernavaca,998,18.9218274,-99.2342282
Central America,Mexico,Culiacán,754,24.7978965,-107.393395
Central America,Mexico,Durango,573,24.833333,-104.833333
Central America,Mexico,Ensenada,306,31.8658887,-116.602983
Central America,Mexico,Guadalajara,4796,20.6720375,-103.338396
Central America,Mexico,Hermosillo,789,28.96893455,-111.4473169
Central America,Mexico,Irapuato,416,20.6758761,-101.3521052
Central America,Mexico,La Laguna,1313,20.443863,-97.44505868
Central America,Mexico,León de los Aldamas,1714,21.1315594,-101.6746905
Central America,Mexico,Los Mochis,284,25.7928058,-108.990188
Central America,Mexico,Matamoros,525,25.8810158,-97.5064866
Central America,Mexico,Mazatlán,417,23.2035785,-106.4208391
Central America,Mexico,Mérida,1064,20.9670759,-89.6237402
Central America,Mexico,Mexicali,1026,32.6405247,-115.474899
Central America,Mexico,Minatitlán,378,17.992773,-94.5567103
Central America,Mexico,Monclova,339,26.8999988,-101.4171173
Central America,Mexico,Monterrey,4478,25.6802019,-100.315258
Central America,Mexico,Morelia,888,19.7027116,-101.1923818
Central America,Mexico,Nuevo Laredo,414,27.4930466,-99.5074055
Central America,Mexico,Oaxaca de Juárez,655,17.0604663,-96.7253575
Central America,Mexico,Orizaba,451,18.8497366,-97.1060062
Central America,Mexico,Pachuca de Soto,570,20.1165413,-98.7413535
Central America,Mexico,Poza Rica de Hidalgo,538,20.53765745,-97.4451248
Central America,Mexico,Puebla,2955,18.833333,-98
Central America,Mexico,Puerto Vallarta,444,20.6407176,-105.220306
Central America,Mexico,Querétaro,1214,20.8052225,-99.8837376
Central America,Mexico,Reynosa,810,26.0907673,-98.2788191
Central America,Mexico,Saltillo,901,25.4230425,-100.9927509
Central America,Mexico,San Luis Potosí,1126,22.5000001,-100.4949145
Central America,Mexico,Tampico,928,22.2157619,-97.8577713
Central America,Mexico,Tehuacán,319,18.4599877,-97.3903616
Central America,Mexico,Tepic,485,21.5119156,-104.8915889
Central America,Mexico,Tijuana,1939,32.5317397,-117.019529
Central America,Mexico,Tlaxcala,546,19.416667,-98.166667
Central America,Mexico,Toluca de Lerdo,2189,19.292545,-99.6569007
Central America,Mexico,Tuxtla Gutierrez,763,16.753801,-93.115959
Central America,Mexico,Uruapán,296,19.4060961,-102.0343072
Central America,Mexico,Veracruz,864,19.333333,-96.666667
Central America,Mexico,Villahermosa,825,17.9884657,-92.9366326
Central America,Mexico,Xalapa,719,19.5408338,-96.9146374
Central America,Mexico,Zacatecas,338,23.0823582,-103.2085698
Central America,Nicaragua,Managua,1027,12.1544035,-86.2737642
Central America,Panama,Ciudad de Panamá,1673,8.9714493,-79.5341802
South America,Argentina,Bahia Blanca,307,-38.7176522,-62.2654871
South America,Argentina,Buenos Aires,14706,-34.6037181,-58.38153
South America,Argentina,Córdoba,1514,-31.4166867,-64.1834193
South America,Argentina,Corrientes,381,-28.99565115,-57.81245797
South America,Argentina,La Plata,834,-34.9206797,-57.9537638
South America,Argentina,Mar Del Plata,635,-37.4500273,-61.939304
South America,Argentina,Mendoza,1075,-34.78709305,-68.43818677
South America,Argentina,Neuquén-Plottier-Cipolletti,373,-38.94809058,-68.22978918
South America,Argentina,Posadas,352,-27.4035083,-55.94971181
South America,Argentina,Resistencia,408,-27.6048829,-59.19320025
South America,Argentina,Rosario,1423,-32.9593609,-60.6617024
South America,Argentina,Salta,622,-25.1076701,-64.3494964
South America,Argentina,San Juan,516,-30.7054363,-69.1988222
South America,Argentina,San Miguel de Tucumán,913,-26.8303703,-65.2038133
South America,Argentina,San Salvador de Jujuy,337,-24.1852569,-65.2994789
South America,Argentina,Santa Fe,527,-30.3154739,-61.1645076
South America,Argentina,Santiago Del Estero,404,-27.6431016,-63.5408542
South America,Bolivia,Cochabamba,1136,-17.3936114,-66.1568983
South America,Bolivia,La Paz,1745,-16.4955455,-68.1336229
South America,Bolivia,Oruro,282,-18.666667,-67.666667
South America,Bolivia,Santa Cruz,1532,-17.333333,-61.5
South America,Brazil,Anápolis,357,-16.3332828,-48.9525756
South America,Brazil,Aracaju,909,-10.9162061,-37.0774655
South America,Brazil,Baixada Santista,1779,-24.04565585,-46.70645235
South America,Brazil,Bauru,357,-22.3218102,-49.0705863
