Country,Population (2023),Subregion
Brazil,216422446,South America
Mexico,128455567,Central America
Colombia,52085168,South America
Argentina,45773884,South America
Peru,34352719,South America
Venezuela,28838499,South America
Chile,19629590,South America
Ecuador,18190484,South America
Guatemala,18092026,Central America
Bolivia,12388571,South America
Haiti,11724763,Caribbean
Dominican Republic,11332972,Caribbean
Cuba,11194449,Caribbean
Honduras,10593798,Central America
Nicaragua,7046310,Central America
Paraguay,6861524,South America
El Salvador,6364943,Central America
Costa Rica,5212173,Central America
Panama,4468087,Central America
Uruguay,3423108,South America
Jamaica,2825544,Caribbean
Trinidad and Tobago,1534937,Caribbean
Guyana,813834,South America
Suriname,623236,South America
Bahamas,412623,Caribbean
Belize,410825,Central America
Barbados,281995,Caribbean
Saint Lucia,180251,Caribbean
Grenada,126183,Caribbean
St. Vincent & Grenadines,103698,Caribbean
Antigua and Barbuda,94298,Caribbean
Dominica,73040,Caribbean
Saint Kitts & Nevis,47755,Caribbean
